Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Abatia_parviflora,,Salicaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Abatia parviflora,"Sauquet et al., 2017",,,,,0,,,,,
Abelia_grandifolia,,Caprifoliaceae,Linnaea grandifolia (Kew et tous...),Zygo,,Reyes et al. 2016; ,,Zygo,,,,Abelia grandifolia,Reyes et al. 2016,,,0,,,,,
Abelia_triflora,,Caprifoliaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Abelia triflora,"Sauquet et al., 2017",Abelia triflora,Reyes et al. 2016,,,0,,,,,
Abrophyllum_ornans,,Rousseaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Abrophyllum ornans,"Sauquet et al., 2017",,,,,0,,,,,
Acacia_farnesiana,,Leguminosae,Vachellia farnesiana (Kew),Act,,Reyes et al. 2016; ,,Act,,,,Acacia farnesiana,Reyes et al. 2016,,,0,,,,,
Acacia_fimbriata,,Leguminosae,,Act,, https://www.inaturalist.org/observations/21881,,,,Acacia fimbriata,,,,,,0,,,,,
Acanthochlamys_bracteata,,Velloziaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Acanthochlamys bracteata,"Sauquet et al., 2017",,,,,0,,,,,
Acanthogilia_gloriosa,,Polemoniaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Acanthogilia gloriosa,Reyes et al. 2016,,,0,,,,,
Acanthus_mollis,,Acanthaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Acanthus mollis,family scored from ref. 1,0,,,,,
Acanthus_montanus,,Acanthaceae,,Zygo,,"Sauquet et al., 2017; ",Zygo,,,Acanthus montanus,"Sauquet et al., 2017",,,,,0,,,,,
Acanthus_spinosus,,Acanthaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Acanthus spinosus,1,0,,,,,
Acharia_tragodes,,Achariaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Acharia tragodes,"Sauquet et al., 2017",Acharia tragodes,Reyes et al. 2016,,,0,,,,,
Achillea_atrata,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea atrata,family scored from ref. 2,0,,,,,
Achillea_erba-rotta,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea moschata,2,0,,,,,
Achillea_macrophylla,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea macrophylla,2,0,,,,,
Achillea_millefolium,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea millefolium,2,0,,,,,
Achillea_nana,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea nana,2,0,,,,,
Achillea_ptarmica,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Achillea ptarmica,2,0,,,,,
Acicarpha_tribuloides,,Calyceraceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Acicarpha tribuloides,"Sauquet et al., 2017",Acicarpha tribuloides,Reyes et al. 2016,,,0,,,,,
Acleisanthes_acutifolia,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274 et pers obs http://www.tropicos.org/Image/100016133,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_angustifolia,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_anisophylla,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2000; Levin 2002,,,
Acleisanthes_chenopodioides,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Spellenberg & Delson 1977; Levin 2002,From Lord 1981; (syn. Ammocodon chenopodioides) ,,
Acleisanthes_crassifolia,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2000; Levin 2002,,,
Acleisanthes_diffusa,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2000; Levin 2002,(syn. Selinocarpus diffusus),,
Acleisanthes_lanceolata,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Spellenberg & Delson 1977; Levin 2002,From Lord 1981; (syn. Selinocarpus lanceolatus),,
Acleisanthes_longiflora,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Spellenberg & Delson 1977; Levin 2000; Levin 2002,From Lord 1981,,
Acleisanthes_nana,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_obtusa,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2000; Levin 2002,,,
Acleisanthes_palmeri,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_parvifolia,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_purpusiana,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_somalensis,,Nyctaginaceae,,Act,,https://plants.jstor.org/stable/10.5555/al.ap.flora.flos001261,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_undulata,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Acleisanthes_wrightii,,Nyctaginaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=100274,,,,,,,,,,1,dimorphic,Levin 2002,,,
Aconitum_napellus,,Ranunculaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Aconitum napellus,Reyes et al. 2016,,,0,,,,,
Acorus_calamus,,Acoraceae,,Act,,Reyes et al. 2016; ,,Zygo,,,,Acorus calamus,Reyes et al. 2016,,,0,,,,,
Acorus_gramineus,,Acoraceae,,Act,,"Sauquet et al., 2017; ",Zygo,,,Acorus gramineus,"Sauquet et al., 2017",,,,,0,,,,,
Acourtia_runcinata,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Acourtia runcinata,2,0,,,,,
Acridocarpus_natalitius,,Malpighiaceae,,Zygo,,"Sauquet et al., 2017; ",Zygo,,,Acridocarpus natalitius,"Sauquet et al., 2017",,,,,0,,,,,
Actinidia_chinensis,,Actinidiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Actinidia chinensis,"Sauquet et al., 2017",,,,,0,,,,,
Actinidia_chrysantha,,Actinidiaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Actinidia chrysantha,Reyes et al. 2016,,,0,,,,,
Adenanthos_sericeus,,Proteaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Adenanthos sericeus,Reyes et al. 2016,,,0,,,,,
Adenophora_liliifolia,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Adenophora communis,3,0,,,,,
Adenostyles_alliariae,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Cacalia albida,2,0,,,,,
Adenostyles_alpina,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Cacalia alpina,2,0,,,,,
Adoxa_moschatellina,,Adoxaceae,,Act,,"Sauquet et al., 2017; Kalisz et al., 2006",Act,,Act,Adoxa moschatellina,"Sauquet et al., 2017",,,Adoxa moschatellina,,0,,,,,
Aegopodium_podagraria,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aegopodium podagraria,family scored from ref. 1,0,,,,,
Aesculus_pavia,,Sapindaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Aesculus pavia,"Sauquet et al., 2017",Aesculus pavia,Reyes et al. 2016,,,0,,,,,
Aextoxicon_punctatum,,Aextoxicaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Aextoxicon punctatum,"Sauquet et al., 2017",Aextoxicon punctatum,Reyes et al. 2016,,,0,,,,,
Afrolicania_elaeosperma,,Chrysobalanaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Afrolicania elaeosperma,"Sauquet et al., 2017",,,,,0,,,,,
Agave_ghiesbreghtii,,Asparagaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Agave ghiesbreghtii,"Sauquet et al., 2017",,,,,0,,,,,
Ageratina_riparia,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eupatorium riparium,2,0,,,,,
Ailanthus_altissima,,Simaroubaceae,Ailanthus altissimus (FOC),Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Ailanthus altissima,"Sauquet et al., 2017",Ailanthus altissima,Reyes et al. 2016,,,0,,,,,
Ainsliaea_apiculata,,Compositae,,Act,,https://www.researchgate.net/publication/232687259_Systematic_revision_and_phylogeny_of_Ainsliaea_DC_Asteraceae_Mutisieae,,,,,,,,,,1,dimorphic,Watanabe et al. 1992,,,
Ainsliaea_faurieana,,Compositae,,Act,,https://www.researchgate.net/publication/232687259_Systematic_revision_and_phylogeny_of_Ainsliaea_DC_Asteraceae_Mutisieae,,,,,,,,,,1,dimorphic,Watanabe et al. 1992,,,
Ajuga_chamaepitys,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Ajuga chamaepitys,family scored from ref. 1,0,,,,,
Ajuga_ciliata,,Lamiaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Ajuga ciliata,Reyes et al. 2016,,,0,,,,,
Ajuga_genevensis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Ajuga genevensis,1,0,,,,,
Ajuga_iva,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Ajuga iva,1,1,dimorphic,Ruiz de Clavijo 1997,,,
Ajuga_reptans,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Ajuga reptans,1,0,,,,,
Akania_bidwillii,,Akaniaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Akania bidwillii,Reyes et al. 2016,,,0,,,,,
Akebia_quinata,,Lardizabalaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Akebia quinata,"Sauquet et al., 2017",,,,,0,,,,,
Alangium_chinense,,Cornaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Alangium chinense,"Sauquet et al., 2017",,,,,0,,,,,
Albizia_julibrissin,,Leguminosae,,Act,,"Sauquet et al., 2017; ",Act,,,Albizia julibrissin,"Sauquet et al., 2017",,,,,0,,,,,
Aletes_acaulis,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aletes acaulis,1,0,,,,,
Aletes_humilis,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aletes humilis,1,0,,,,,
Alisma_plantago-aquatica,,Alismataceae,,Act,,"Sauquet et al., 2017; ",Act,,,Alisma plantagoaquatica,"Sauquet et al., 2017",,,,,0,,,,,
Allantoma_lineata,,Lecythidaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Allantoma lineata,Reyes et al. 2016,,,0,,,,,
Allionia_choisyi,,Nyctaginaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Allionia choisyi,Reyes et al. 2016,,,0,,,,,
Allium_fistulosum,,Amaryllidaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Allium fistulosum,"Sauquet et al., 2017",,,,,0,,,,,
Allium_vineale,,Amaryllidaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Allium vineale,Reyes et al. 2016,,,0,,,,,
Allophyllum_glutinosum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Allophyllum glutinosum,family scored from ref. 1,0,,,,,
Allophylus_longipes,,Sapindaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Allophylus longipes,Reyes et al. 2016,,,0,,,,,
Alluaudia_procera,,Didiereaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Alluaudia procera,"Sauquet et al., 2017",Alluaudia procera,,,,0,,,,,
Alophia_drummondii,,Iridaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Alophia drummondii,"Sauquet et al., 2017",,,,,0,,,,,
Alseuosmia_macrophylla,,Alseuosmiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Alseuosmia macrophylla,"Sauquet et al., 2017",,,,,0,,,,,
Alstroemeria_aurea,,Alstroemeriaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Alstroemeria aurea,"Sauquet et al., 2017",Alstroemeria aurea,Reyes et al. 2016,,,0,,,,0.726011561,0
Altingia_chinensis,,Altingiaceae,Liquidambar chinensis (Kew) mais Altingia chinensis accpeted par The Plant List et eFlora,Zygo,, http://www.efloras.org/object_page.aspx?object_id=48764&flora_id=2,,,,,,Altingia chinensis,,,,0,,,,,
Alzatea_verticillata,,Penaeaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Alzatea verticillata,Reyes et al. 2016,,,0,,,,,
Amaranthus_retroflexus,,Amaranthaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Amaranthus retroflexus,Reyes et al. 2016,,,0,,,,,
Amborella_trichopoda,,Amborellaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Amborella trichopoda,"Sauquet et al., 2017",Amborella trichopoda,Reyes et al. 2016,,,0,,,,,
Amischotolype_hispida,,Commelinaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Amischotolype hispida,Reyes et al. 2016,,,0,,,,,
Ammi_majus,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ammi majus,1,0,,,,,
Amphicarpaea_bracteata,,Leguminosae,,Zygo,, https://www.inaturalist.org/observations/20196222,,,,,,,,,,1,dimorphic,"Trapp & Hendrix 1988, Trapp 1988",,,
Amsonia_tabernaemontana,,Apocynaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Amsonia tabernaemontana,family scored from ref. 2,0,,,,,
Amyema_queenslandica,,Loranthaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Amyema queenslandica,Reyes et al. 2016,,,0,,,,,
Amylotheca_subumbellata,,Loranthaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Amylotheca subumbellata,Reyes et al. 2016,,,0,,,,,
Anacampseros_crinita,,Anacampserotaceae,,Act,, http://www.cactus-esterel.com/galerie%20plantes%20grasses/pages/Anacampseros-crinita.htm,,,,,,Anacampseros crinita,,,,0,,,,,
Anacardium_occidentale,,Anacardiaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Anacardium occidentale,Reyes et al. 2016,,,0,,,,,
Anacolosa_papuana,,Olacaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Anacolosa papuana,Reyes et al. 2016,,,0,,,,,
Anagallis_arvensis,,Primulaceae,Lysimachia arvensis (Kew),Act,,"Kalisz et al., 2006",,,Act,,,,,Anagallis arvensis,family scored from ref. 1,0,,,,,
Anagallis_minima,,Primulaceae,Lysimachia minima (Kew),Act,,"Kalisz et al., 2006",,,Act,,,,,Centunculus minimus,1,0,,,,,
Anagallis_tenella,,Primulaceae,,Act,,"Sauquet et al., 2017; Kalisz et al., 2006",Act,,Act,Anagallis tenella,"Sauquet et al., 2017",,,Anagallis tenella,1,0,,,,,
Anaphalioides_bellidioides,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Gnaphalium bellidioides,2,0,,,,,
Anaphalioides_trinervis,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Gnaphalium trinerve,2,0,,,,,
Anchusa_officinalis,,Boraginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Anchusa officinalis,1,0,,,,,
Anchusella_variegata,,Boraginaceae,Anchusa variegata (Kew),Zygo,,Reyes et al. 2016; ,,Zygo,,,,Anchusella variegata,Reyes et al. 2016,,,0,,,,,
Ancistrocladus_ealaensis,,Ancistrocladaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Ancistrocladus ealaensis,Reyes et al. 2016,,,0,,,,,
Andromeda_polifolia,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Andromeda polifolia,1,0,,,,0.542467113,0.800138991
Androsace_alpina,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Androsace alpina,family scored from ref. 1,0,,,,,
Androsace_helvetica,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Androsace bryoides,1,0,,,,,
Androsace_lactea,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Androsace lactea,1,0,,,,,
Androsace_spinulifera,,Primulaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Androsace spinulifera,"Sauquet et al., 2017",,,,,0,,,,,
Anethum_graveolens,,Apiaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Anethum graveolens,"Sauquet et al., 2017",Anethum graveolens,Reyes et al. 2016,,,0,,,,,
Aneulophus_africanus,,Erythroxylaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Aneulophus africanus,"Sauquet et al., 2017",,,,,0,,,,,
Angelica_ampla,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica ampla,1,0,,,,,
Angelica_archangelica,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica archangelica,1,0,,,,,
Angelica_arguta,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica arguta,1,0,,,,,
Angelica_atropurpurea,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica atropurpurea,1,0,,,,,
Angelica_breweri,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica breweri,1,0,,,,,
Angelica_canbyi,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica canbyi,1,0,,,,,
Angelica_dawsonii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica dawsonii,1,0,,,,,
Angelica_dentata,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica dentata,1,0,,,,,
Angelica_geniculata,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica geniculata,1,0,,,,,
Angelica_genuflexa,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica genuflexa,1,0,,,,,
Angelica_grayi,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica grayi,1,0,,,,,
Angelica_hendersonii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica hendersoni,1,0,,,,,
Angelica_kingii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica kingii,1,0,,,,,
Angelica_laurentiana,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica laurentia,1,0,,,,,
Angelica_lucida,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica lucida,1,0,,,,,
Angelica_nelsonii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica nelsonii,1,0,,,,,
Angelica_pinnata,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica pinnata,1,0,,,,,
Angelica_scabrida,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica scabrida,1,0,,,,,
Angelica_sylvestris,,Apiaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; Kalisz et al., 2006",Act,Act,Act,Angelica sylvestris,"Sauquet et al., 2017",Angelica sylvestris,Reyes et al. 2016,Angelica sylvestris,1,0,,,,,
Angelica_tomentosa,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica tomentosa,1,0,,,,,
Angelica_trinagula,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica trinagula,1,0,,,,,
Angelica_triquinata,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica triquinata,1,0,,,,,
Angelica_venenosa,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Angelica venenosa,1,0,,,,,
Angelonia_bisaccata,,Plantaginaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Angelonia bisaccata,family scored from ref. 1,0,,,,,
Angelonia_hirta,,Plantaginaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Angelonia hirta,1,0,,,,,
Angelonia_hookeriana,,Plantaginaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Angelonia hookeriana,1,0,,,,,
Angelonia_pubescens,,Plantaginaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Angelonia pubescens,1,0,,,,1,1
Anigozanthos_flavidus,,Haemodoraceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Anigozanthos flavidus,"Sauquet et al., 2017",Anigozanthos flavidus,Reyes et al. 2016,,,0,,,,,
Anisophyllea_fallax,,Anisophylleaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Anisophyllea fallax,"Sauquet et al., 2017",Anisophyllea fallax,Reyes et al. 2016,,,0,,,,,
Anisoptera_marginata,,Dipterocarpaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Anisoptera marginata,"Sauquet et al., 2017",Anisoptera marginata,Reyes et al. 2016,,,0,,,,,
Annona_glabra,,Annonaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Annona glabra,Reyes et al. 2016,,,0,,,,,
Annona_muricata,,Annonaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Annona muricata,"Sauquet et al., 2017",,,,,0,,,,,
Anodendron_affine,,Apocynaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Anodendron affine,Reyes et al. 2016,,,0,,,,,
Anopterus_macleayanus,,Escalloniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Anopterus macleayanus,"Sauquet et al., 2017",,,,,0,,,,,
Anredera_cordifolia,,Basellaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Anredera cordifolia,"Sauquet et al., 2017",,,,,0,,,,,
Anthacanthus_acicularis,,Acanthaceae,Oplonia acicularis (Eranthemum ambiguum aussi synonyme - Kew),Zygo,http://keralaplants.in/keralaplantsdetails.aspx?id=Eranthemum_roseum,,,,,,,,,,,1,dimorphic,Darwin 1877,,,
Anthemis_arvensis,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Anthemis arvensis,2,0,,,,,
Anthriscus_caucalis,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Torilis anthriscus,1,0,,,,,
Anthriscus_sylvestris,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Anthriscus sylvestris,1,0,,,,,
Antiphytum_floribundum,,Boraginaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Antiphytum floribundum,Reyes et al. 2016,,,0,,,,,
Antirrhinum_majus,,Plantaginaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; Kalisz et al., 2006",Zygo,Zygo,Zygo,Antirrhinum majus,"Sauquet et al., 2017",Antirrhinum majus,Reyes et al. 2016,Antirrhinum majus,1,0,,,,,
Aphanopetalum_resinosum,,Aphanopetalaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Aphanopetalum resinosum,"Sauquet et al., 2017",Aphanopetalum resinosum,Reyes et al. 2016,,,0,,,,,
Aphelandra_pulcherrima,,Acanthaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Aphelandra pulcherrima,1,0,,,,,
Apium_graveolens,,Apiaceae,,Act,,http://www.tropicos.org/Image/100560928,Act,,Act,Apium graveolens,"Sauquet et al., 2017",,,Apium graveolens,1,0,,,,,
Apium_inundatum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Apium inundatum,1,0,,,,,
Apium_nodiflorum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Apium nodiflorum,1,0,,,,,
Apodytes_dimidiata,,Icacinaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Apodytes dimidiata,Reyes et al. 2016,,,0,,,,,
Aponogeton_madagascariensis,,Aponogetonaceae,,Act,,Reyes et al. 2016; ,,,,,,Aponogeton madagascariensis,Reyes et al. 2016,,,0,,,,,
Apophyllum_anomalum,,Capparaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Apophyllum anomalum,Reyes et al. 2016,,,0,,,,,
Aporosa_frutescens,,Phyllanthaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Aporosa frutescens,"Sauquet et al., 2017",,,,,0,,,,,
Aposeris_foetida,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aposeris foetida,2,0,,,,,
Arabidopsis_thaliana,,Brassicaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Arabidopsis thaliana,"Sauquet et al., 2017",Arabidopsis thaliana,,,,0,,,,,
Arachnitis_uniflora,,Corsiaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Arachnitis uniflora,Reyes et al. 2016,,,0,,,,,
Aralia_hispida,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aralia hispida,family scored from ref. 2,0,,,,,
Aralidium_pinnatifidum,,Torricelliaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Aralidium pinnatifidum,"Sauquet et al., 2017",Aralidium pinnatifidum,Reyes et al. 2016,,,0,,,,,
Arbutus_unedo,,Ericaceae,,Act,,"Sauquet et al., 2017; Kalisz et al., 2006",Act,,Act,Arbutus unedo,"Sauquet et al., 2017",,,Arbutus unedo,1,0,,,,,
Archytaea_triflora,,Bonnetiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Archytaea triflora,"Sauquet et al., 2017",,,,,0,,,,,
Arctium_lappa,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Arctium lappa,2,0,,,,,
Arctium_minus,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Lappa minor,2,0,,,,,
Arctopus_echinatus,,Apiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Arctopus echinatus,"Sauquet et al., 2017",,,,,0,,,,,
Arctostaphylos_uva-ursi,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Arctostaphylos uva-ursi,1,0,,,,,
Arctous_alpina,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Arctostaphylos alpina,1,0,,,,,
Ardisia_escallonioides,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ardisia escallonioides,2,0,,,,,
